date,Confirmed,Deaths,Recovered,Latitude,Longitude,FIPS,Lat,Long_,Active,new_Confirmed,new_Recovered,new_Deaths,p_new_Confirmed,p_new_Recovered,p_new_Deaths,Confirmed_normalized,Deaths_normalized,Recovered_normalized
2020-03-20,81250.0,3253.0,71266.0,1080.0817,3685.580000000001,0.0,0.0,0.0,0.0,94.0,731.0,4.0,0.0011569230769230769,0.010257345718856116,0.0012296341838303104,52.160571102080645,2.0883487728623797,45.75108012505697
2020-03-21,81305.0,3259.0,71857.0,1080.0817,3685.580000000001,0.0,0.0,0.0,0.0,55.0,591.0,6.0,0.0006764651620441547,0.00822466843870465,0.001841055538508745,51.97831493213827,2.083479839663472,45.93820522819826
2020-03-22,81397.0,3265.0,72362.0,0.0,0.0,0.0,1083.3366999999998,3684.419700000001,5770.0,92.0,505.0,6.0,0.0011302627860977678,0.0069788010281639536,0.0018376722817764165,51.83729875687793,2.0792999796209495,46.08340126350112
2020-03-23,81496.0,3274.0,72819.0,0.0,0.0,0.0,1083.3367,3684.4197000000004,5403.0,99.0,457.0,9.0,0.0012147835476587808,0.006275834603606202,0.002748930971288943,51.71426939697568,2.0775561746060958,46.208174428418225
2020-03-24,81591.0,3281.0,73280.0,0.0,0.0,0.0,1083.3367,3684.4197000000004,5030.0,95.0,461.0,7.0,0.0011643441065803826,0.006290938864628821,0.0021334958854007926,51.59024229854823,2.0745864737720674,46.3351712276797
