CITY,COUNTYNAME,Combined_Key,index,Confirmed,Deaths,Recovered,FIPS,Lat,Long_,log_conf,ZIP
Marble hill,Cape Girardeau County,Missouri US,382.0,5.0,0.0,0.0,29031.0,37.38489388,-89.6843587,0.4885590669614942,63764.0
Marble hill,Dawson County,Georgia US,730.0,2.0,0.0,0.0,13085.0,34.44244079,-84.16964071,0.09061905828945654,30148.0
Marble hill,Pickens County,Georgia US,2258.0,4.5,0.5,0.0,13227.0,34.46589159,-84.46406611,0.4255176500596602,30148.0
Marblehead,Essex County,Massachusetts US,887.0,411.0,2.5,0.0,25009.0,42.6687626,-70.94687179,6.8111240131717485,1945.0
Marblemount,Skagit County,Washington US,2624.0,84.5,1.0,0.0,53057.0,48.48171488,-121.766131,3.708932581178908,98267.0
Marbury,Autauga County,Alabama US,110.0,6.0,0.0,0.0,1001.0,32.53952745,-86.64408227,0.6055193684736281,36051.0
Marbury,Charles County,Maryland US,448.0,19.0,0.0,0.0,24017.0,38.51092331,-76.98580666,1.6311342057438103,20658.0
Marbury,Chilton County,Alabama US,494.0,6.5,0.0,0.0,1021.0,32.85044126,-86.7173256,0.6598550328547832,36051.0
Marbury,Elmore County,Alabama US,872.0,12.0,0.0,0.0,1051.0,32.59785413,-86.14415284,1.1646321618209043,36051.0
Marceline,Chariton County,Missouri US,447.0,1.0,0.0,0.0,29041.0,39.51499357,-92.9629191,0.0,64658.0
Marcella,Stone County,Arkansas US,2710.0,1.0,0.0,0.0,5137.0,35.86251946,-92.15684085,0.0,72555.0
Marcellus,Cass County,Michigan US,420.0,1.5,0.0,0.0,26027.0,41.91522292,-85.99405727,0.04530952914472827,49067.0
Marcellus,Onondaga County,New York US,2138.0,134.5,1.0,0.0,36067.0,43.00491923,-76.19971155,4.526063329581385,13108.0
Marcellus,Van Buren County,Michigan US,2909.5,3.5,0.0,0.0,26159.0,42.25190229,-86.01939087,0.2950604624315456,49067.0
March air reserve base,Riverside County,California US,2439.0,166.0,8.0,0.0,6065.0,33.74314981,-115.9933578,4.920711745319036,92518.0
Marchand,Indiana County,Pennsylvania US,1339.0,2.0,0.0,0.0,42063.0,40.65241041,-79.08963285,0.09061905828945654,15758.0
Marco island,Collier County,Florida US,599.0,86.5,0.0,0.0,12021.0,26.11091986,-81.34687065,3.749388849057408,34145.5
Marcola,Lane County,Oregon US,1588.0,9.5,1.0,0.0,41039.0,43.93727035,-122.847753,0.95528938341053,97454.0
Marcus,Stevens County,Washington US,2704.0,2.5,0.0,0.0,53065.0,48.40035475,-117.8542701,0.15913187499736076,99151.0
Marcus hook,Delaware County,Pennsylvania US,762.0,205.5,3.5,0.0,42045.0,39.91680171,-75.40243663,5.3409470946674595,19061.0
Marcy,Oneida County,New York US,2136.0,18.0,0.0,0.0,36065.0,43.24375382,-75.43710392,1.5475862457668748,13403.0
Mardela springs,Wicomico County,Maryland US,3076.5,5.5,0.0,0.0,24045.0,38.37301947,-75.62705831,0.5470392177175611,21837.0
Marengo,Benton County,Iowa US,182.0,3.5,0.0,0.0,19011.0,42.08011739,-92.06463573,0.2950604624315456,52301.0
Marengo,Crawford County,Indiana US,658.0,0.5,0.0,0.0,18025.0,38.28814402,-86.44518825,0.0,47140.0
Marengo,DeKalb County,Illinois US,740.0,4.0,0.0,0.0,17037.0,41.89373302,-88.76958483,0.3624762331578262,60152.0
Marengo,Delaware County,Ohio US,760.0,23.0,0.0,0.0,39041.0,40.27942393,-83.00457058,1.8474143125425824,43334.0
Marengo,Iowa County,Iowa US,1344.0,1.0,0.0,0.0,19095.0,41.68630265,-92.0643373,0.0,52301.0
Marengo,McHenry County,Illinois US,1858.0,46.0,1.5,0.0,17111.0,42.32451172,-88.45248227,2.764511431108303,60152.0
Marengo,Orange County,Indiana US,2144.0,1.0,0.0,0.0,18117.0,38.54118920000001,-86.49523093,0.0,47140.0
Marenisco,Gogebic County,Michigan US,1055.0,1.0,1.0,0.0,26053.0,46.40862701,-89.69377193,0.0,49947.0
Margaret,St. Clair County,Alabama US,2655.0,10.0,0.0,0.0,1115.0,33.71902176,-86.31029372,0.9975387457610589,35112.0
Margarettsville,Northampton County,North Carolina US,2094.0,3.0,0.0,0.0,37131.0,36.41736238,-77.39769443,0.227644691705265,27853.0
Margaretville,Delaware County,New York US,759.0,8.0,0.0,0.0,36025.0,42.19837623,-74.96709306,0.8155715246051087,12455.0
Margaretville,Ulster County,New York US,2853.0,115.5,0.0,0.0,36111.0,41.89027881,-74.26252104,4.237863538678158,12455.0
Margate,Broward County,Florida US,283.0,714.0,7.5,0.0,12011.0,26.15184651,-80.48725556,8.122808646084305,33093.0
Margate city,Atlantic County,New Jersey US,101.0,15.5,0.0,0.0,34001.0,39.47538693,-74.65848483,1.413807011144307,8402.0
Maria stein,Mercer County,Ohio US,1902.0,2.0,0.0,0.0,39107.0,40.54043046,-84.62912742,0.09061905828945654,45860.0
Marianna,Jackson County,Florida US,1366.0,1.0,0.0,0.0,12063.0,30.7954597,-85.21500423,0.0,32447.0
Marianna,Washington County,Pennsylvania US,2999.5,18.5,0.0,0.0,42125.0,40.19208869,-80.24582867,1.5839560867764062,15345.0
Maribel,Brown County,Wisconsin US,292.0,5.5,0.0,0.0,55009.0,44.4526553,-88.00411844,0.5470392177175611,54227.0
Maricopa,Kern County,California US,1494.0,40.0,1.0,0.0,6029.0,35.34329425,-118.7277796,2.55089791605834,93252.0
Maricopa,Maricopa County,Arizona US,1787.0,426.5,5.0,0.0,4013.0,33.34835867,-112.4918154,6.912502904649649,85139.0
Maricopa,Pinal County,Arizona US,2277.0,38.5,0.0,0.0,4021.0,32.90525627,-111.3449483,2.511574621195148,85138.5
Maricopa,San Luis Obispo County,California US,2515.0,63.0,0.0,0.0,6079.0,35.38822029,-120.4039028,3.2352330160979457,93252.0
Maricopa,Santa Barbara County,California US,2528.0,39.5,0.0,0.0,6083.0,34.65329488,-120.0188492,2.5306938518748145,93252.0
Maricopa,Ventura County,California US,2916.5,72.0,2.0,0.0,6111.0,34.44465746,-119.0910613,3.4351316722086818,93252.0
Marienville,Clarion County,Pennsylvania US,519.0,0.5,0.0,0.0,42031.0,41.19265812,-79.42413524,0.0,16239.0
Marietta,Cass County,Texas US,425.0,1.5,0.0,0.0,48067.0,33.07499881,-94.34646905,0.04530952914472827,75566.0
Marietta,Cherokee County,Georgia US,472.0,49.0,0.5,0.0,13057.0,34.24393976,-84.47431861,2.8547155410921103,30066.0
Marietta,Cobb County,Georgia US,581.0,162.5,5.0,0.0,13067.0,33.94243204,-84.5761255,4.877820597353485,30063.5
Marietta,Greenville County,South Carolina US,1127.0,54.0,1.0,0.0,45045.0,34.89502264,-82.37295012,2.999446207541015,29661.0
Marietta,Itawamba County,Mississippi US,1360.0,3.0,0.0,0.0,28057.0,34.27993475,-88.3606733,0.227644691705265,38856.0
Marietta,Lancaster County,Pennsylvania US,1583.0,39.0,0.5,0.0,42071.0,40.03904563,-76.24770128,2.519498100653428,17547.0
Marietta,Onondaga County,New York US,2138.0,134.5,1.0,0.0,36067.0,43.00491923,-76.19971155,4.526063329581385,13110.0
Marietta,Pickens County,South Carolina US,2259.0,8.5,0.0,0.0,45077.0,34.88807695,-82.72791551,0.8570953486179692,29661.0
Marietta,Prentiss County,Mississippi US,2340.0,1.5,0.0,0.0,28117.0,34.61810501,-88.51986294,0.04530952914472827,38856.0
Marietta,Robeson County,North Carolina US,2449.0,2.0,0.0,0.0,37155.0,34.64244496,-79.10250529999998,0.09061905828945654,28362.0
Marietta,Washington County,Ohio US,2996.5,2.0,0.0,0.0,39167.0,39.45690571,-81.49121382,0.09061905828945654,45750.0
Marilla,Erie County,New York US,881.0,281.5,5.5,0.0,36029.0,42.76249024,-78.73063652,5.985128034755667,14102.0
Marina,Monterey County,California US,1975.0,28.0,1.0,0.0,6053.0,36.21862405,-121.2413397,2.0852297644917535,93933.0
Marina del rey,Los Angeles County,California US,1716.0,1465.0,26.0,0.0,6037.0,34.30828379,-118.2282411,10.022527865903633,90293.5
Marine,Madison County,Illinois US,1759.0,9.0,0.0,0.0,17119.0,38.83042506,-89.90422563,0.9077857623025544,62061.0
Marine city,St. Clair County,Michigan US,2657.0,15.5,0.0,0.0,26147.0,42.92655373,-82.67937954,1.4165477911292412,48039.0
Marine on saint croix,Washington County,Minnesota US,2990.5,23.5,0.0,0.0,27163.0,45.03864533,-92.88429635,1.8781674609159278,55047.0
Marinette,Marinette County,Wisconsin US,1790.0,1.0,0.0,0.0,55075.0,45.38553432,-88.03324599999998,0.0,54143.0
Maringouin,Iberville Parish,Louisiana US,1333.0,20.5,1.0,0.0,22047.0,30.25734305,-91.3499598,1.720471456492041,70757.0
Maringouin,Pointe Coupee Parish,Louisiana US,2299.0,1.5,0.0,0.0,22077.0,30.71409502,-91.60209535,0.04530952914472827,70757.0
Marion,Barnes County,North Dakota US,133.0,1.0,0.0,0.0,38003.0,46.93579637,-98.06605978,0.04530952914472827,58466.0
Marion,Bexar County,Texas US,200.0,119.0,5.0,0.0,48029.0,29.44928723,-98.52019748,4.306081348874875,78124.0
Marion,Clare County,Michigan US,517.0,1.0,0.0,0.0,26035.0,43.98794227,-84.84819859999998,0.0,49665.0
Marion,Crawford County,Ohio US,663.0,1.5,0.0,0.0,39033.0,40.85065156,-82.91989099,0.04530952914472827,43302.0
