index,March 29,date,date_sort
New York,33768,March 29,29
Westchester,8519,March 29,29
Nassau,6445,March 29,29
Suffolk,5023,March 29,29
Rockland,2209,March 29,29
Orange,1247,March 29,29
Erie,358,March 29,29
Dutchess,320,March 29,29
Monroe,219,March 29,29
Albany,205,March 29,29
Onondaga,152,March 29,29
Ulster,146,March 29,29
Putnam,144,March 29,29
Saratoga,102,March 29,29
Sullivan,88,March 29,29
Schenectady,76,March 29,29
Tompkins,52,March 29,29
Rensselaer,39,March 29,29
Niagara,38,March 29,29
Broome,29,March 29,29
Oneida,26,March 29,29
Madison,24,March 29,29
Columbia,23,March 29,29
Warren,18,March 29,29
Ontario,18,March 29,29
Steuben,17,March 29,29
Chenango,15,March 29,29
Chemung,15,March 29,29
Clinton,13,March 29,29
St Lawrence,12,March 29,29
Wayne,12,March 29,29
Herkimer,10,March 29,29
Livingston,10,March 29,29
Otsego,10,March 29,29
Genesee,9,March 29,29
Delaware,8,March 29,29
Oswego,8,March 29,29
Wyoming,8,March 29,29
Washington,7,March 29,29
Greene,7,March 29,29
Jefferson,7,March 29,29
Montgomery,6,March 29,29
Allegany,6,March 29,29
Cortland,6,March 29,29
Franklin,6,March 29,29
Chautauqua,5,March 29,29
Schoharie,5,March 29,29
Tioga,4,March 29,29
Cattaraugus,4,March 29,29
Essex,4,March 29,29
Orleans,3,March 29,29
Hamilton,2,March 29,29
Lewis,2,March 29,29
Cayuga,2,March 29,29
Schuyler,1,March 29,29
Fulton,1,March 29,29
