index,March 28,date,date_sort
New York,29766,March 28,28
Westchester,7875,March 28,28
Nassau,5537,March 28,28
Suffolk,4138,March 28,28
Rockland,1896,March 28,28
Orange,1101,March 28,28
Erie,318,March 28,28
Dutchess,262,March 28,28
Albany,195,March 28,28
Monroe,192,March 28,28
Putnam,131,March 28,28
Onondaga,129,March 28,28
Ulster,128,March 28,28
Saratoga,96,March 28,28
Sullivan,72,March 28,28
Schenectady,72,March 28,28
Tompkins,45,March 28,28
Rensselaer,38,March 28,28
Niagara,33,March 28,28
Broome,23,March 28,28
Oneida,23,March 28,28
Columbia,22,March 28,28
Madison,19,March 28,28
Ontario,16,March 28,28
Steuben,13,March 28,28
Warren,13,March 28,28
Clinton,12,March 28,28
Wayne,12,March 28,28
Chemung,12,March 28,28
Herkimer,9,March 28,28
Chenango,8,March 28,28
St Lawrence,8,March 28,28
Delaware,8,March 28,28
Oswego,7,March 28,28
Genesee,7,March 28,28
Greene,7,March 28,28
Wyoming,7,March 28,28
Otsego,7,March 28,28
Jefferson,6,March 28,28
Washington,6,March 28,28
Chautauqua,5,March 28,28
Montgomery,5,March 28,28
Cortland,5,March 28,28
Schoharie,5,March 28,28
Livingston,5,March 28,28
Tioga,4,March 28,28
Essex,4,March 28,28
Franklin,4,March 28,28
Orleans,3,March 28,28
Hamilton,2,March 28,28
Allegany,2,March 28,28
Cayuga,2,March 28,28
Fulton,1,March 28,28
Cattaraugus,1,March 28,28
Schuyler,1,March 28,28
