index,March 25,date,date_sort
New York,17856,March 25,25
Westchester,4691,March 25,25
Nassau,3285,March 25,25
Suffolk,2260,March 25,25
Rockland,968,March 25,25
Orange,638,March 25,25
Dutchess,153,March 25,25
Albany,152,March 25,25
Erie,122,March 25,25
Monroe,118,March 25,25
Putnam,84,March 25,25
Onondaga,65,March 25,25
Ulster,65,March 25,25
Saratoga,64,March 25,25
Schenectady,55,March 25,25
Sullivan,39,March 25,25
Rensselaer,31,March 25,25
Tompkins,16,March 25,25
Columbia,12,March 25,25
Niagara,12,March 25,25
Broome,11,March 25,25
Clinton,10,March 25,25
Oneida,9,March 25,25
Ontario,9,March 25,25
Steuben,8,March 25,25
Madison,7,March 25,25
Wayne,7,March 25,25
Herkimer,5,March 25,25
Delaware,5,March 25,25
Wyoming,4,March 25,25
Washington,4,March 25,25
Essex,4,March 25,25
Greene,4,March 25,25
Montgomery,4,March 25,25
Livingston,3,March 25,25
Chenango,3,March 25,25
Cayuga,2,March 25,25
Warren,2,March 25,25
Hamilton,2,March 25,25
Jefferson,2,March 25,25
Schoharie,2,March 25,25
Otsego,2,March 25,25
Oswego,2,March 25,25
Orleans,2,March 25,25
Allegany,2,March 25,25
Cortland,2,March 25,25
Genesee,2,March 25,25
Tioga,1,March 25,25
St Lawrence,1,March 25,25
Fulton,1,March 25,25
Chemung,1,March 25,25
Chautauqua,1,March 25,25
