Albany,Allegany,Bronx,Broome,Cayuga,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Livingston,Madison,Monroe,Montgomery,Nassau,New York,Niagara,Oneida,Onondaga,Ontario,Orange,Putnam,Queens,Rensselaer,Richmond,Rockland,Saratoga,Schenectady,Schoharie,St Lawrence,Steuben,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,total,dates
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,March 1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,March 2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,March 3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,March 4
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,March 5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,22.0,March 6
0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,45.0,March 7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,16.0,March 8
0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,37.0,March 9
0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,31.0,March 10
0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,43.0,March 11
1.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,0.0,0.0,1.0,0.0,13.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,0.0,43.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,27.0,0.0,109.0,March 12
1.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,10.0,59.0,0.0,0.0,0.0,0.0,2.0,0.0,59.0,0.0,59.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,94.0,March 13
3.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,1.0,0.0,28.0,115.0,0.0,0.0,0.0,0.0,3.0,0.0,115.0,0.0,115.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,194.0,March 14
3.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,1.0,19.0,60.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,116.0,March 15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,March 16
15.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,8.0,0.0,33.0,315.0,0.0,0.0,0.0,0.0,9.0,0.0,315.0,0.0,315.0,9.0,6.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,184.0,0.0,609.0,March 17
13.0,2.0,695.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,695.0,0.0,0.0,4.0,1.0,52.0,695.0,0.0,0.0,2.0,0.0,17.0,0.0,695.0,4.0,695.0,8.0,5.0,9.0,0.0,0.0,0.0,32.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,158.0,1.0,1016.0,March 18
7.0,0.0,1130.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,21.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1130.0,0.0,0.0,13.0,0.0,189.0,1130.0,1.0,1.0,3.0,1.0,19.0,3.0,1130.0,2.0,1130.0,23.0,4.0,4.0,1.0,0.0,0.0,62.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,260.0,0.0,1768.0,March 19
18.0,0.0,1939.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1939.0,1.0,0.0,5.0,0.0,382.0,1939.0,2.0,1.0,3.0,2.0,33.0,2.0,1939.0,14.0,1939.0,48.0,6.0,3.0,0.0,0.0,0.0,193.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,293.0,1.0,2965.0,March 20
27.0,0.0,1803.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1803.0,1.0,0.0,10.0,1.0,480.0,1803.0,1.0,2.0,9.0,1.0,79.0,15.0,1803.0,0.0,1803.0,161.0,11.0,11.0,0.0,0.0,2.0,291.0,4.0,0.0,4.0,6.0,0.0,0.0,2.0,296.0,0.0,3242.0,March 21
35.0,0.0,2834.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,33.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2834.0,0.0,0.0,15.0,0.0,666.0,2834.0,2.0,1.0,12.0,2.0,84.0,15.0,2834.0,6.0,2834.0,193.0,6.0,7.0,0.0,1.0,1.0,372.0,4.0,0.0,2.0,8.0,0.0,0.0,0.0,486.0,0.0,4809.0,March 22
4.0,0.0,3260.0,4.0,2.0,0.0,2.0,5.0,1.0,0.0,18.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3260.0,1.0,4.0,19.0,0.0,542.0,3260.0,4.0,2.0,23.0,0.0,142.0,8.0,3260.0,3.0,3260.0,137.0,12.0,5.0,0.0,0.0,1.0,424.0,7.0,0.0,2.0,9.0,1.0,2.0,3.0,1021.0,2.0,5699.0,March 23
19.0,0.0,2599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2599.0,0.0,0.0,20.0,0.0,427.0,2599.0,0.0,0.0,0.0,0.0,100.0,0.0,2599.0,0.0,2599.0,79.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997.0,0.0,4707.0,March 24
6.0,0.0,2952.0,4.0,0.0,0.0,4.0,2.0,0.0,2.0,29.0,15.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2952.0,0.0,3.0,22.0,1.0,416.0,2952.0,2.0,2.0,13.0,3.0,149.0,39.0,2952.0,2.0,2952.0,297.0,11.0,11.0,1.0,0.0,4.0,380.0,16.0,0.0,1.0,30.0,0.0,1.0,1.0,800.0,0.0,5219.0,March 25
