index,March 26,date,date_sort
New York,21873,March 26,26
Westchester,5944,March 26,26
Nassau,3914,March 26,26
Suffolk,2735,March 26,26
Rockland,1197,March 26,26
Orange,751,March 26,26
Dutchess,190,March 26,26
Albany,171,March 26,26
Monroe,139,March 26,26
Erie,134,March 26,26
Putnam,94,March 26,26
Onondaga,83,March 26,26
Ulster,78,March 26,26
Saratoga,73,March 26,26
Schenectady,62,March 26,26
Sullivan,53,March 26,26
Rensselaer,32,March 26,26
Tompkins,22,March 26,26
Broome,16,March 26,26
Niagara,14,March 26,26
Columbia,13,March 26,26
Oneida,13,March 26,26
Steuben,11,March 26,26
Ontario,11,March 26,26
Clinton,11,March 26,26
Madison,9,March 26,26
Wayne,8,March 26,26
Delaware,7,March 26,26
Wyoming,7,March 26,26
Herkimer,7,March 26,26
Chemung,7,March 26,26
Greene,5,March 26,26
Montgomery,5,March 26,26
Oswego,4,March 26,26
Essex,4,March 26,26
Genesee,4,March 26,26
Washington,4,March 26,26
Chenango,3,March 26,26
Jefferson,3,March 26,26
Livingston,3,March 26,26
Cayuga,2,March 26,26
Warren,2,March 26,26
St Lawrence,2,March 26,26
Tioga,2,March 26,26
Cortland,2,March 26,26
Schoharie,2,March 26,26
Hamilton,2,March 26,26
Orleans,2,March 26,26
Allegany,2,March 26,26
Otsego,2,March 26,26
Fulton,1,March 26,26
Chautauqua,1,March 26,26
Franklin,1,March 26,26
