date_found_positive,Albany,Allegany,Bronx,Broome,Chenango,Clinton,Columbia,Delaware,Dutchess,Erie,Essex,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Livingston,Monroe,Montgomery,Nassau,New York,Niagara,Oneida,Onondaga,Ontario,Orange,Putnam,Queens,Rensselaer,Richmond,Rockland,Saratoga,Schenectady,Schoharie,Steuben,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,county
March 12,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
March 13,0.01639344262295082,0.0,0.01338475499092559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01338475499092559,0.0,0.0,0.0,0.013262599469496022,0.01338475499092559,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.01338475499092559,0.0,0.01338475499092559,0.019801980198019802,0.0,0.047619047619047616,0.0,0.0,0.0215633423180593,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.00916590284142988,0.0,12
March 14,0.03409090909090909,0.0,0.018515536950571565,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018515536950571565,0.0,0.023809523809523808,0.0,0.022690437601296597,0.018515536950571565,0.0,0.0,0.0,0.0,0.018404907975460124,0.0,0.018515536950571565,0.0,0.018515536950571565,0.011450381679389313,0.0,0.0,0.0,0.0,0.019637462235649546,0.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.014419610670511895,0.0,13
March 16,0.024390243902439025,0.0,0.006633499170812604,0.0,0.0,0.0,0.0,0.0,0.036585365853658534,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.02974018794914317,0.0,0.0,0.3333333333333333,0.01,0.006633499170812604,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.006633499170812604,0.0,0.006633499170812604,0.002197802197802198,0.0,0.02564102564102564,0.0,0.0,0.031914893617021274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009610250934329953,0.0,14
March 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
March 17,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,16
March 18,0.0,0.0,231.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.66666666666666,0.0,0.0,0.0,52.0,231.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,231.66666666666666,0.0,231.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.777777777777779,0.0,17
March 19,0.0,0.0,282.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.5,0.0,0.0,0.0,47.25,282.5,0.0,0.0,0.0,0.0,0.0,0.0,282.5,0.0,282.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.647058823529412,0.0,18
March 20,0.0,0.0,176.27272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.27272727272728,0.0,0.0,0.0,95.5,176.27272727272728,0.0,0.0,0.0,0.0,0.0,0.0,176.27272727272728,0.0,176.27272727272728,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185714285714286,0.0,19
March 21,0.0,0.0,150.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.25,0.0,0.0,0.0,96.0,150.25,0.0,0.0,0.0,0.0,0.0,0.0,150.25,0.0,150.25,80.5,5.5,0.0,0.0,0.0,291.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.6097560975609757,0.0,20
March 22,0.0,0.0,149.1578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.1578947368421,0.0,0.0,0.0,39.1764705882353,149.1578947368421,0.0,0.0,0.0,0.0,0.0,0.0,149.1578947368421,0.0,149.1578947368421,48.25,3.0,0.0,0.0,0.0,372.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.959183673469388,0.0,21
