index,March 30,date,date_sort
New York,37453,March 30,30
Westchester,9326,March 30,30
Nassau,7344,March 30,30
Suffolk,5791,March 30,30
Rockland,2511,March 30,30
Orange,1435,March 30,30
Dutchess,392,March 30,30
Erie,376,March 30,30
Monroe,242,March 30,30
Albany,217,March 30,30
Ulster,190,March 30,30
Onondaga,180,March 30,30
Putnam,167,March 30,30
Saratoga,105,March 30,30
Sullivan,101,March 30,30
Schenectady,80,March 30,30
Tompkins,66,March 30,30
Niagara,41,March 30,30
Rensselaer,40,March 30,30
Broome,35,March 30,30
Oneida,34,March 30,30
Madison,34,March 30,30
Columbia,26,March 30,30
Ontario,20,March 30,30
Steuben,19,March 30,30
Warren,18,March 30,30
Otsego,17,March 30,30
Clinton,17,March 30,30
Chenango,17,March 30,30
Chemung,15,March 30,30
Wayne,15,March 30,30
Oswego,14,March 30,30
St Lawrence,13,March 30,30
Livingston,12,March 30,30
Herkimer,12,March 30,30
Jefferson,11,March 30,30
Delaware,11,March 30,30
Greene,10,March 30,30
Genesee,9,March 30,30
Wyoming,8,March 30,30
Cortland,8,March 30,30
Washington,7,March 30,30
Allegany,7,March 30,30
Cattaraugus,6,March 30,30
Schoharie,6,March 30,30
Montgomery,6,March 30,30
Franklin,6,March 30,30
Chautauqua,5,March 30,30
Tioga,4,March 30,30
Orleans,4,March 30,30
Essex,4,March 30,30
Cayuga,3,March 30,30
Hamilton,2,March 30,30
Schuyler,2,March 30,30
Lewis,2,March 30,30
Fulton,1,March 30,30
