MODZCTA,Positive,Total,zcta_cum.perc_pos,ZIP,LAT,LNG,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Positive_Percentage_of_Population
11004,434,727,59.7,11004,40.746204,-73.711478,11004,40.74625,-73.71154,Glen Oaks,NY,New York,True,,15234,5699.6,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,2.8488906393593276
11101,460,1024,44.92,11101,40.747155,-73.93975,11101,40.74671,-73.93893,Long Island City,NY,New York,True,,30043,3779.2,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.531138701194954
11102,436,840,51.9,11102,40.772884000000005,-73.926295,11102,40.77232,-73.92591999999999,Astoria,NY,New York,True,,30800,16711.6,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.4155844155844155
11103,389,805,48.32,11103,40.762574,-73.91344699999999,11103,40.76251,-73.91342,Astoria,NY,New York,True,,36140,21044.4,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.0763696734919757
11104,345,677,50.96,11104,40.744634000000005,-73.920201,11104,40.7446,-73.92027,Sunnyside,NY,New York,True,,26119,27093.6,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.320877522110341
11105,370,872,42.43,11105,40.778877,-73.906769,11105,40.77896,-73.90633000000001,Astoria,NY,New York,True,,37382,8420.6,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,0.9897811781071103
11106,456,968,47.11,11106,40.762211,-73.931528,11106,40.761720000000004,-73.93183,Astoria,NY,New York,True,,38363,17558.1,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,1.1886453092823814
11109,41,136,30.15,11109,40.745115000000006,-73.956928,11109,40.74589,-73.95751,Long Island City,NY,New York,True,,5981,27330.4,36081,Queens,{'36081':100},Queens,36081,False,False,America/New_York,0.6855040963049657
11201,472,1235,38.22,11201,40.693682,-73.989693,11201,40.69463,-73.98971999999999,Brooklyn,NY,New York,True,,62823,14028.1,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,0.751317192747879
11203,1464,2532,57.82,11203,40.649591,-73.934371,11203,40.64955,-73.93444000000001,Brooklyn,NY,New York,True,,75451,13711.2,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.9403321360883223
11204,1445,2588,55.83,11204,40.618778999999996,-73.984826,11204,40.618790000000004,-73.98479,Brooklyn,NY,New York,True,,76978,18996.1,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.8771597079685103
